	Sentence	Relation_gold	Head_gold	Relation_prediction	Head_prediction	Relation_accuracy	Head_accuracy
0	"Partidario de la ""perestroika"" de Mijail Gorbachov en la Unión Soviética, en 1989 entró en conflicto con Yívkov, líder durante 35 años del Partido Comunista y del Estado búlgaro, y le acusó en una carta abierta de utilizar métodos poco democráticos de gobierno."	['amod', 'case', 'det', 'punct', 'nmod', 'punct', 'case', 'nmod', 'flat', 'case', 'det', 'nmod', 'flat', 'punct', 'case', 'obl', 'ROOT', 'case', 'obl', 'case', 'obl', 'punct', 'appos', 'case', 'nummod', 'nmod', 'case', 'det', 'nmod', 'flat', 'cc', 'case', 'det', 'conj', 'amod', 'punct', 'cc', 'iobj', 'conj', 'case', 'det', 'obl', 'amod', 'mark', 'xcomp', 'obj', 'advmod', 'amod', 'case', 'nmod', 'punct']	['entró', 'perestroika', 'perestroika', 'perestroika', 'Partidario', 'perestroika', 'Mijail', 'perestroika', 'Mijail', 'Unión', 'Unión', 'perestroika', 'Unión', 'Partidario', '1989', 'entró', 'entró', 'conflicto', 'entró', 'Yívkov', 'entró', 'líder', 'Yívkov', 'años', 'años', 'líder', 'Partido', 'Partido', 'líder', 'Partido', 'Estado', 'Estado', 'Estado', 'Partido', 'Estado', 'acusó', 'acusó', 'acusó', 'entró', 'carta', 'carta', 'acusó', 'carta', 'utilizar', 'acusó', 'utilizar', 'democráticos', 'métodos', 'gobierno', 'métodos', 'entró']	['nsubj', 'case', 'det', 'punct', 'flat', 'punct', 'case', 'nmod', 'flat', 'case', 'det', 'nmod', 'flat', 'punct', 'case', 'obl', 'ROOT', 'case', 'obl', 'case', 'obl', 'punct', 'appos', 'case', 'nummod', 'nmod', 'case', 'nmod', 'flat', 'cc', 'case', 'conj', 'amod', 'punct', 'cc', 'obj', 'conj', 'case', 'det', 'obj', 'amod', 'mark', 'acl', 'obj', 'advmod', 'amod', 'case', 'nmod', 'punct', '-', '-']	['entró', 'perestroika', 'perestroika', 'perestroika', 'Partidario', 'perestroika', 'Mijail', 'perestroika', 'Mijail', 'Unión', 'Unión', 'perestroika', 'Unión', 'perestroika', '1989', 'entró', 'entró', 'conflicto', 'entró', 'Yívkov', 'entró', 'líder', 'Yívkov', 'años', 'años', 'líder', 'Partido', 'años', 'Partido', 'Estado', 'Estado', 'Partido', 'Estado', 'líder', 'acusó', 'acusó', 'entró', 'carta', 'carta', 'acusó', 'carta', 'utilizar', 'carta', 'utilizar', 'democráticos', 'métodos', 'gobierno', 'democráticos', 'entró', '-', '-']	0.49019607843137253	0.6274509803921569
1	Días después, el 10 de noviembre de 1989, organizó junto con otros miembros del Gabinete la destitución de Yívkov, lo que provocó la caída del régimen comunista en el país, y dos meses más tarde fue elegido presidente de la Bulgaria pluripartidista.	['obl', 'advmod', 'punct', 'det', 'appos', 'case', 'compound', 'case', 'compound', 'punct', 'ROOT', 'case', 'fixed', 'det', 'obl', 'case', 'det', 'nmod', 'det', 'obj', 'case', 'nmod', 'punct', 'det', 'nsubj', 'advcl', 'det', 'obj', 'case', 'det', 'nmod', 'amod', 'case', 'det', 'obl', 'punct', 'cc', 'nummod', 'obl', 'advmod', 'advmod', 'aux', 'conj', 'obj', 'case', 'det', 'nmod', 'amod', 'punct']	['organizó', 'Días', '10', '10', 'Días', 'noviembre', '10', '1989', '10', '10', 'organizó', 'miembros', 'junto', 'miembros', 'organizó', 'Gabinete', 'Gabinete', 'miembros', 'destitución', 'organizó', 'Yívkov', 'destitución', 'provocó', 'provocó', 'provocó', 'organizó', 'caída', 'provocó', 'régimen', 'régimen', 'caída', 'régimen', 'país', 'país', 'provocó', 'elegido', 'elegido', 'meses', 'elegido', 'tarde', 'meses', 'elegido', 'organizó', 'elegido', 'Bulgaria', 'Bulgaria', 'presidente', 'Bulgaria', 'organizó']	['nsubj', 'advmod', 'punct', 'det', 'appos', 'case', 'compound', 'case', 'compound', 'punct', 'ROOT', 'case', 'fixed', 'det', 'obl', 'case', 'nmod', 'det', 'obj', 'case', 'nmod', 'punct', 'det', 'nsubj', 'advcl', 'det', 'obj', 'case', 'nmod', 'amod', 'case', 'det', 'nmod', 'punct', 'cc', 'nummod', 'obl', 'advmod', 'advmod', 'aux', 'conj', 'obj', 'case', 'det', 'nmod', 'amod', 'punct', '-', '-']	['organizó', 'Días', '10', '10', 'Días', 'noviembre', '10', '1989', '10', '10', 'organizó', 'miembros', 'junto', 'miembros', 'organizó', 'Gabinete', 'miembros', 'destitución', 'organizó', 'Yívkov', 'destitución', 'provocó', 'provocó', 'provocó', 'organizó', 'caída', 'provocó', 'régimen', 'caída', 'régimen', 'país', 'país', 'caída', 'elegido', 'elegido', 'meses', 'tarde', 'tarde', 'elegido', 'elegido', 'organizó', 'elegido', 'Bulgaria', 'Bulgaria', 'presidente', 'Bulgaria', 'organizó', '-', '-']	0.30612244897959184	0.4489795918367347
2	"Después del triunfo electoral de los socialistas (ex comunistas) en las primeras elecciones democráticas del 10 de junio de 1990, la derechista Unión de Fuerzas Democráticas (SDS) acusó a Mladénov de haber amenazado con ""sacar los carros de combate"" el 14 de diciembre de 1989."	['case', 'fixed', 'det', 'obl', 'amod', 'case', 'det', 'nmod', 'punct', 'amod', 'appos', 'punct', 'case', 'det', 'amod', 'nmod', 'amod', 'case', 'det', 'nmod', 'case', 'compound', 'case', 'compound', 'punct', 'det', 'amod', 'nsubj', 'case', 'flat', 'flat', 'punct', 'flat', 'punct', 'ROOT', 'case', 'iobj', 'mark', 'aux', 'ccomp', 'mark', 'punct', 'advcl', 'det', 'obj', 'case', 'nmod', 'punct', 'det', 'obl', 'case', 'compound', 'case', 'compound', 'punct']	['triunfo', 'Después', 'triunfo', 'acusó', 'triunfo', 'socialistas', 'socialistas', 'triunfo', 'comunistas', 'comunistas', 'socialistas', 'comunistas', 'elecciones', 'elecciones', 'elecciones', 'triunfo', 'elecciones', '10', '10', 'elecciones', 'junio', '10', '1990', '10', 'triunfo', 'Unión', 'Unión', 'acusó', 'Fuerzas', 'Unión', 'Fuerzas', 'SDS', 'Unión', 'SDS', 'acusó', 'Mladénov', 'acusó', 'amenazado', 'amenazado', 'acusó', 'sacar', 'sacar', 'amenazado', 'carros', 'sacar', 'combate', 'carros', 'sacar', '14', 'sacar', 'diciembre', '14', '1989', '14', 'acusó']	['advmod', 'det', 'obl', 'amod', 'case', 'det', 'nmod', 'punct', 'amod', 'appos', 'punct', 'case', 'det', 'amod', 'obl', 'amod', 'case', 'nmod', 'case', 'compound', 'case', 'compound', 'punct', 'det', 'amod', 'nsubj', 'case', 'flat', 'flat', 'punct', 'flat', 'punct', 'ROOT', 'case', 'iobj', 'mark', 'aux', 'xcomp', 'mark', 'punct', 'xcomp', 'det', 'obj', 'case', 'nmod', 'punct', 'det', 'obl', 'case', 'compound', 'case', 'compound', 'punct', '-', '-']	['acusó', 'triunfo', 'Después', 'triunfo', 'socialistas', 'socialistas', 'triunfo', 'comunistas', 'comunistas', 'socialistas', 'comunistas', 'elecciones', 'elecciones', 'elecciones', 'Después', 'elecciones', '10', 'elecciones', 'junio', '10', '1990', '10', 'Después', 'Unión', 'Unión', 'acusó', 'Fuerzas', 'Unión', 'Fuerzas', 'SDS', 'Unión', 'SDS', 'acusó', 'Mladénov', 'acusó', 'amenazado', 'amenazado', 'acusó', 'sacar', 'sacar', 'amenazado', 'carros', 'sacar', 'combate', 'carros', 'sacar', '14', 'sacar', 'diciembre', '14', '1989', '14', 'acusó', '-', '-']	0.10909090909090909	0.18181818181818182
3	Descontento por la falta de apoyo del Partido Socialista Búlgaro (BSP, ex comunista), Mladénov, que desde hacía tiempo sufría problemas cardíacos, dimitió el 6 de julio de 1990 y, por decisión del Parlamento fue sustituido en la Presidencia por Yeliu Yélev, entonces líder de la SDS.	['amod', 'case', 'det', 'obl', 'case', 'nmod', 'case', 'det', 'nmod', 'flat', 'flat', 'punct', 'flat', 'punct', 'amod', 'amod', 'punct', 'punct', 'nsubj', 'punct', 'nsubj', 'case', 'advcl', 'obj', 'acl', 'obj', 'amod', 'punct', 'ROOT', 'det', 'obl', 'case', 'compound', 'case', 'compound', 'cc', 'punct', 'case', 'obl', 'case', 'det', 'nmod', 'aux', 'conj', 'case', 'det', 'obl', 'case', 'obj', 'flat', 'punct', 'advmod', 'appos', 'case', 'det', 'nmod', 'punct']	['Mladénov', 'falta', 'falta', 'Descontento', 'apoyo', 'falta', 'Partido', 'Partido', 'apoyo', 'Partido', 'Partido', 'BSP', 'Partido', 'ex', 'BSP', 'ex', 'BSP', 'Descontento', 'dimitió', 'sufría', 'sufría', 'hacía', 'sufría', 'hacía', 'Mladénov', 'sufría', 'problemas', 'sufría', 'dimitió', '6', 'dimitió', 'julio', '6', '1990', '6', 'sustituido', 'decisión', 'decisión', 'sustituido', 'Parlamento', 'Parlamento', 'decisión', 'sustituido', 'dimitió', 'Presidencia', 'Presidencia', 'sustituido', 'Yeliu', 'sustituido', 'Yeliu', 'líder', 'líder', 'Yeliu', 'SDS', 'SDS', 'líder', 'dimitió']	['nsubj', 'case', 'det', 'nmod', 'case', 'nmod', 'case', 'nmod', 'flat', 'flat', 'punct', 'flat', 'punct', 'appos', 'flat', 'punct', 'punct', 'conj', 'punct', 'nsubj', 'mark', 'advcl', 'obj', 'acl', 'obj', 'amod', 'punct', 'ROOT', 'det', 'obl', 'case', 'compound', 'case', 'compound', 'cc', 'punct', 'case', 'obl', 'case', 'nmod', 'aux', 'conj', 'case', 'det', 'obl', 'case', 'obj', 'flat', 'punct', 'advmod', 'appos', 'case', 'det', 'nmod', 'punct', '-', '-']	['dimitió', 'falta', 'falta', 'Descontento', 'apoyo', 'falta', 'Partido', 'apoyo', 'Partido', 'Partido', 'BSP', 'Partido', 'ex', 'Partido', 'ex', 'ex', 'Mladénov', 'Partido', 'sufría', 'sufría', 'hacía', 'sufría', 'hacía', 'Partido', 'sufría', 'problemas', 'sufría', 'dimitió', '6', 'dimitió', 'julio', '6', '1990', '6', 'sustituido', 'decisión', 'decisión', 'sustituido', 'Parlamento', 'decisión', 'sustituido', 'dimitió', 'Presidencia', 'Presidencia', 'sustituido', 'Yeliu', 'sustituido', 'Yeliu', 'líder', 'líder', 'Yeliu', 'SDS', 'SDS', 'líder', 'dimitió', '-', '-']	0.12280701754385964	0.21052631578947367
4	El Ministerio chino de Asuntos Exteriores defendió hoy el resultado de las elecciones presidenciales celebradas en Perú y ofreció su apoyo al nuevo gobierno del presidente Alberto Fujimori.	['det', 'nsubj', 'amod', 'case', 'nmod', 'flat', 'ROOT', 'advmod', 'det', 'obj', 'case', 'det', 'nmod', 'amod', 'amod', 'case', 'obl', 'cc', 'conj', 'det', 'obj', 'case', 'det', 'amod', 'nmod', 'case', 'det', 'nmod', 'appos', 'flat', 'punct']	['Ministerio', 'defendió', 'Ministerio', 'Asuntos', 'Ministerio', 'Asuntos', 'defendió', 'defendió', 'resultado', 'defendió', 'elecciones', 'elecciones', 'resultado', 'elecciones', 'elecciones', 'Perú', 'celebradas', 'ofreció', 'defendió', 'apoyo', 'ofreció', 'gobierno', 'gobierno', 'gobierno', 'apoyo', 'presidente', 'presidente', 'gobierno', 'presidente', 'Alberto', 'defendió']	['det', 'nsubj', 'flat', 'case', 'nmod', 'flat', 'ROOT', 'advmod', 'det', 'obj', 'case', 'det', 'nmod', 'amod', 'amod', 'case', 'obl', 'cc', 'conj', 'det', 'obj', 'case', 'amod', 'nmod', 'case', 'nmod', 'appos', 'flat', 'punct', '-', '-']	['Ministerio', 'defendió', 'Ministerio', 'Asuntos', 'Ministerio', 'Asuntos', 'defendió', 'defendió', 'resultado', 'defendió', 'elecciones', 'elecciones', 'resultado', 'elecciones', 'elecciones', 'Perú', 'celebradas', 'ofreció', 'defendió', 'apoyo', 'ofreció', 'gobierno', 'gobierno', 'apoyo', 'presidente', 'gobierno', 'presidente', 'Alberto', 'defendió', '-', '-']	0.6774193548387096	0.7741935483870968
5	"""El Gobierno chino respeta la decisión del pueblo peruano expresada en la segunda ronda de las elecciones el pasado domingo"", declaró esta tarde Zhang Qiyue, portavoz de la Cancillería."	['punct', 'det', 'nsubj', 'amod', 'ccomp', 'det', 'obj', 'case', 'det', 'nmod', 'amod', 'amod', 'case', 'det', 'amod', 'obl', 'case', 'det', 'nmod', 'det', 'obl', 'compound', 'punct', 'punct', 'ROOT', 'det', 'obl', 'nsubj', 'flat', 'punct', 'appos', 'case', 'det', 'nmod', 'punct']	['respeta', 'Gobierno', 'respeta', 'Gobierno', 'declaró', 'decisión', 'respeta', 'pueblo', 'pueblo', 'decisión', 'pueblo', 'decisión', 'ronda', 'ronda', 'ronda', 'expresada', 'elecciones', 'elecciones', 'ronda', 'pasado', 'expresada', 'pasado', 'respeta', 'respeta', 'declaró', 'tarde', 'declaró', 'declaró', 'Zhang', 'portavoz', 'Zhang', 'Cancillería', 'Cancillería', 'portavoz', 'declaró']	['punct', 'det', 'nsubj', 'amod', 'ccomp', 'det', 'obj', 'case', 'nmod', 'amod', 'amod', 'case', 'det', 'amod', 'obl', 'case', 'det', 'nmod', 'det', 'amod', 'obl', 'punct', 'punct', 'ROOT', 'det', 'obl', 'nsubj', 'flat', 'punct', 'appos', 'case', 'det', 'nmod', 'punct', '-']	['respeta', 'Gobierno', 'respeta', 'Gobierno', 'declaró', 'decisión', 'respeta', 'pueblo', 'decisión', 'pueblo', 'pueblo', 'ronda', 'ronda', 'ronda', 'expresada', 'elecciones', 'elecciones', 'ronda', 'domingo', 'domingo', 'expresada', 'respeta', 'respeta', 'declaró', 'tarde', 'declaró', 'declaró', 'Zhang', 'portavoz', 'Zhang', 'Cancillería', 'Cancillería', 'portavoz', 'declaró', '-']	0.3142857142857143	0.45714285714285713
6	"Zhang agregó que los comicios son una ""cuestión interna del Perú"", por lo que rechazó cualquier presión o intervención internacional para alterar los resultados de las urnas."	['nsubj', 'ROOT', 'mark', 'det', 'nsubj', 'cop', 'det', 'punct', 'ccomp', 'amod', 'case', 'det', 'nmod', 'punct', 'punct', 'case', 'det', 'obl', 'advcl', 'det', 'obj', 'cc', 'conj', 'amod', 'mark', 'acl', 'det', 'obj', 'case', 'det', 'nmod', 'punct']	['agregó', 'agregó', 'cuestión', 'comicios', 'cuestión', 'cuestión', 'cuestión', 'cuestión', 'agregó', 'cuestión', 'Perú', 'Perú', 'cuestión', 'cuestión', 'rechazó', 'que', 'que', 'rechazó', 'agregó', 'presión', 'rechazó', 'intervención', 'presión', 'presión', 'alterar', 'presión', 'resultados', 'alterar', 'urnas', 'urnas', 'resultados', 'agregó']	['nsubj', 'ROOT', 'mark', 'det', 'nsubj', 'cop', 'det', 'punct', 'ccomp', 'amod', 'case', 'nmod', 'punct', 'punct', 'mark', 'det', 'obl', 'advcl', 'det', 'obj', 'cc', 'conj', 'amod', 'mark', 'advcl', 'det', 'obj', 'case', 'det', 'nmod', 'punct', '-']	['agregó', 'agregó', 'cuestión', 'comicios', 'cuestión', 'cuestión', 'cuestión', 'cuestión', 'agregó', 'cuestión', 'Perú', 'cuestión', 'cuestión', 'rechazó', 'rechazó', 'rechazó', 'rechazó', 'agregó', 'presión', 'rechazó', 'intervención', 'presión', 'intervención', 'alterar', 'rechazó', 'resultados', 'alterar', 'urnas', 'urnas', 'resultados', 'agregó', '-']	0.375	0.4375
7	"Sin mencionarlo directamente, la Cancillería criticó la actitud ""intervencionista"" de otros países que, como Estados Unidos, Canadá o la Unión Europea, han puesto bajo presión al presidente Fujimori, elegido en un proceso con un único candidato."	['mark', 'advcl', 'obj', 'advmod', 'punct', 'det', 'nsubj', 'ROOT', 'det', 'obj', 'punct', 'amod', 'punct', 'case', 'det', 'nmod', 'nsubj', 'punct', 'case', 'obl', 'flat', 'punct', 'flat', 'cc', 'det', 'conj', 'flat', 'punct', 'aux', 'acl', 'case', 'obl', 'case', 'det', 'obj', 'appos', 'punct', 'amod', 'case', 'det', 'obl', 'case', 'det', 'amod', 'nmod', 'punct']	['mencionar', 'criticó', 'mencionar', 'mencionar', 'mencionar', 'Cancillería', 'criticó', 'criticó', 'actitud', 'criticó', 'intervencionista', 'actitud', 'intervencionista', 'países', 'países', 'actitud', 'puesto', 'Estados', 'Estados', 'puesto', 'Estados', 'Canadá', 'Estados', 'Unión', 'Unión', 'Estados', 'Unión', 'Estados', 'puesto', 'países', 'presión', 'puesto', 'presidente', 'presidente', 'puesto', 'presidente', 'elegido', 'presidente', 'proceso', 'proceso', 'elegido', 'candidato', 'candidato', 'candidato', 'proceso', 'criticó']	['mark', 'advcl', 'advmod', 'punct', 'det', 'nsubj', 'ROOT', 'det', 'obj', 'punct', 'amod', 'punct', 'case', 'det', 'nmod', 'nsubj', 'punct', 'mark', 'dep', 'flat', 'punct', 'flat', 'cc', 'det', 'conj', 'flat', 'punct', 'aux', 'acl', 'case', 'obl', 'case', 'obj', 'appos', 'punct', 'amod', 'case', 'det', 'obl', 'case', 'det', 'amod', 'obl', 'punct', '-', '-']	['mencionarlo', 'criticó', 'mencionarlo', 'mencionarlo', 'Cancillería', 'criticó', 'criticó', 'actitud', 'criticó', 'intervencionista', 'actitud', 'intervencionista', 'países', 'países', 'actitud', 'puesto', 'Estados', 'Estados', 'que', 'Estados', 'Canadá', 'Estados', 'Unión', 'Unión', 'Estados', 'Unión', 'Estados', 'puesto', 'países', 'presión', 'puesto', 'presidente', 'puesto', 'presidente', 'elegido', 'presidente', 'proceso', 'proceso', 'elegido', 'candidato', 'candidato', 'candidato', 'elegido', 'criticó', '-', '-']	0.043478260869565216	0.17391304347826086
8	"La retirada del candidato opositor, el economista Alejandro Toledo, y la salida del país de la misión de observación de la Organización de Estados Americanos hicieron aumentar las sospechas de ""irregularidades"" en el proceso."	['det', 'nsubj', 'case', 'det', 'nmod', 'nmod', 'punct', 'det', 'appos', 'appos', 'flat', 'punct', 'cc', 'det', 'conj', 'case', 'det', 'nmod', 'case', 'det', 'nmod', 'case', 'nmod', 'case', 'det', 'nmod', 'case', 'flat', 'flat', 'ROOT', 'xcomp', 'det', 'obj', 'case', 'punct', 'nmod', 'punct', 'case', 'det', 'nmod', 'punct']	['retirada', 'hicieron', 'candidato', 'candidato', 'retirada', 'candidato', 'economista', 'economista', 'candidato', 'economista', 'Alejandro', 'economista', 'salida', 'salida', 'retirada', 'país', 'país', 'salida', 'misión', 'misión', 'salida', 'observación', 'misión', 'Organización', 'Organización', 'observación', 'Estados', 'Organización', 'Estados', 'hicieron', 'hicieron', 'sospechas', 'hicieron', 'irregularidades', 'irregularidades', 'sospechas', 'irregularidades', 'proceso', 'proceso', 'irregularidades', 'hicieron']	['det', 'nsubj', 'case', 'nmod', 'amod', 'punct', 'det', 'appos', 'appos', 'flat', 'punct', 'cc', 'det', 'conj', 'case', 'nmod', 'case', 'det', 'nmod', 'case', 'nmod', 'case', 'det', 'nmod', 'case', 'flat', 'flat', 'ROOT', 'xcomp', 'det', 'obj', 'case', 'punct', 'nmod', 'punct', 'case', 'det', 'obl', 'punct', '-', '-']	['retirada', 'hicieron', 'candidato', 'retirada', 'candidato', 'economista', 'economista', 'retirada', 'economista', 'Alejandro', 'economista', 'salida', 'salida', 'retirada', 'país', 'salida', 'misión', 'misión', 'salida', 'observación', 'misión', 'Organización', 'Organización', 'misión', 'Estados', 'Organización', 'Estados', 'hicieron', 'hicieron', 'sospechas', 'aumentar', 'irregularidades', 'irregularidades', 'sospechas', 'irregularidades', 'proceso', 'proceso', 'aumentar', 'hicieron', '-', '-']	0.17073170731707318	0.17073170731707318
9	"""China está dispuesta a trabajar y colaborar con el Gobierno de Perú, bajo el liderazgo del presidente Alberto Fujimori"", reiteró Zhang Qiyue para dejar clara la postura oficial."	['punct', 'nsubj', 'cop', 'ccomp', 'mark', 'advcl', 'cc', 'conj', 'case', 'det', 'obl', 'case', 'flat', 'punct', 'case', 'det', 'obl', 'case', 'det', 'nmod', 'appos', 'flat', 'punct', 'punct', 'ROOT', 'nsubj', 'flat', 'mark', 'advcl', 'obj', 'det', 'obj', 'amod', 'punct']	['dispuesta', 'dispuesta', 'dispuesta', 'reiteró', 'trabajar', 'dispuesta', 'colaborar', 'trabajar', 'Gobierno', 'Gobierno', 'trabajar', 'Perú', 'Gobierno', 'liderazgo', 'liderazgo', 'liderazgo', 'trabajar', 'presidente', 'presidente', 'liderazgo', 'presidente', 'Alberto', 'dispuesta', 'dispuesta', 'reiteró', 'reiteró', 'Zhang', 'dejar', 'reiteró', 'dejar', 'postura', 'dejar', 'postura', 'reiteró']	['punct', 'nsubj', 'cop', 'ccomp', 'mark', 'xcomp', 'cc', 'conj', 'case', 'det', 'obl', 'case', 'nmod', 'punct', 'case', 'det', 'obl', 'case', 'nmod', 'appos', 'flat', 'punct', 'punct', 'ROOT', 'nsubj', 'flat', 'mark', 'advcl', 'obj', 'det', 'obj', 'amod', 'punct', '-']	['dispuesta', 'dispuesta', 'dispuesta', 'reiteró', 'trabajar', 'dispuesta', 'colaborar', 'trabajar', 'Gobierno', 'Gobierno', 'trabajar', 'Perú', 'Gobierno', 'liderazgo', 'liderazgo', 'liderazgo', 'trabajar', 'presidente', 'liderazgo', 'presidente', 'Alberto', 'dispuesta', 'dispuesta', 'reiteró', 'reiteró', 'Zhang', 'dejar', 'reiteró', 'dejar', 'postura', 'dejar', 'postura', 'reiteró', '-']	0.5	0.5882352941176471
